complex_191w.pdb 0.000
#Interface RMSD
complex_189w.pdb 0.662
complex_192w.pdb 2.071
complex_158w.pdb 3.715
complex_196w.pdb 4.351
complex_173w.pdb 4.748
complex_133w.pdb 4.802
complex_184w.pdb 6.916
complex_187w.pdb 7.677
complex_72w.pdb 8.129
complex_193w.pdb 8.882
complex_188w.pdb 9.288
complex_181w.pdb 9.688
complex_7w.pdb 9.695
complex_29w.pdb 9.709
complex_124w.pdb 9.724
complex_147w.pdb 9.768
complex_182w.pdb 9.848
complex_2w.pdb 9.849
complex_12w.pdb 9.929
complex_88w.pdb 9.990
complex_3w.pdb 10.280
complex_17w.pdb 10.284
complex_80w.pdb 10.378
complex_18w.pdb 10.395
complex_194w.pdb 10.431
complex_32w.pdb 10.440
complex_49w.pdb 10.516
complex_161w.pdb 10.551
complex_9w.pdb 10.800
complex_6w.pdb 10.819
complex_31w.pdb 10.856
complex_24w.pdb 10.900
complex_15w.pdb 10.915
complex_167w.pdb 11.376
complex_10w.pdb 11.555
complex_175w.pdb 11.555
complex_168w.pdb 11.568
complex_152w.pdb 11.589
complex_157w.pdb 11.761
complex_21w.pdb 11.864
complex_8w.pdb 11.870
complex_23w.pdb 11.931
complex_190w.pdb 11.961
complex_37w.pdb 12.084
complex_197w.pdb 12.216
complex_178w.pdb 12.549
complex_179w.pdb 12.698
complex_22w.pdb 12.752
complex_34w.pdb 12.762
complex_4w.pdb 13.296
complex_121w.pdb 13.301
complex_142w.pdb 13.445
complex_16w.pdb 13.483
complex_195w.pdb 13.485
complex_19w.pdb 13.594
complex_177w.pdb 13.595
complex_150w.pdb 14.118
complex_199w.pdb 14.232
complex_159w.pdb 14.253
complex_5w.pdb 14.418
complex_53w.pdb 14.652
complex_183w.pdb 16.017
complex_198w.pdb 16.029
complex_144w.pdb 16.051
complex_30w.pdb 16.227
complex_119w.pdb 16.424
complex_137w.pdb 16.599
complex_107w.pdb 16.692
complex_73w.pdb 16.731
complex_134w.pdb 16.846
complex_36w.pdb 17.018
complex_146w.pdb 17.047
complex_155w.pdb 17.185
complex_128w.pdb 17.219
complex_56w.pdb 17.241
complex_130w.pdb 17.282
complex_45w.pdb 17.415
complex_89w.pdb 17.424
complex_100w.pdb 17.601
complex_86w.pdb 17.642
complex_156w.pdb 17.677
complex_94w.pdb 17.869
complex_35w.pdb 17.942
complex_162w.pdb 18.072
complex_186w.pdb 18.106
complex_44w.pdb 18.171
complex_139w.pdb 18.207
complex_153w.pdb 18.273
complex_69w.pdb 18.285
complex_132w.pdb 18.306
complex_174w.pdb 18.334
complex_166w.pdb 18.418
complex_127w.pdb 18.544
complex_84w.pdb 18.600
complex_185w.pdb 18.617
complex_33w.pdb 18.623
complex_165w.pdb 18.635
complex_87w.pdb 18.653
complex_125w.pdb 18.695
complex_59w.pdb 18.781
complex_154w.pdb 18.790
complex_91w.pdb 18.842
complex_163w.pdb 18.886
complex_97w.pdb 18.968
complex_104w.pdb 18.999
complex_151w.pdb 19.028
complex_39w.pdb 19.036
complex_176w.pdb 19.069
complex_148w.pdb 19.071
complex_143w.pdb 19.159
complex_20w.pdb 19.172
complex_170w.pdb 19.174
complex_113w.pdb 19.239
complex_51w.pdb 19.274
complex_145w.pdb 19.278
complex_63w.pdb 19.321
complex_117w.pdb 19.335
complex_68w.pdb 19.340
complex_70w.pdb 19.354
complex_1w.pdb 19.366
complex_65w.pdb 19.437
complex_180w.pdb 19.449
complex_77w.pdb 19.452
complex_96w.pdb 19.503
complex_99w.pdb 19.509
complex_61w.pdb 19.524
complex_58w.pdb 19.529
complex_140w.pdb 19.539
complex_123w.pdb 19.575
complex_138w.pdb 19.576
complex_62w.pdb 19.593
complex_114w.pdb 19.596
complex_120w.pdb 19.603
complex_41w.pdb 19.641
complex_109w.pdb 19.645
complex_126w.pdb 19.664
complex_141w.pdb 19.689
complex_118w.pdb 19.697
complex_47w.pdb 19.723
complex_81w.pdb 19.726
complex_108w.pdb 19.735
complex_74w.pdb 19.735
complex_50w.pdb 19.760
complex_160w.pdb 19.766
complex_25w.pdb 19.789
complex_103w.pdb 19.801
complex_122w.pdb 19.850
complex_106w.pdb 19.856
complex_76w.pdb 19.875
complex_136w.pdb 19.913
complex_40w.pdb 19.926
complex_57w.pdb 20.046
complex_95w.pdb 20.066
complex_54w.pdb 20.110
complex_92w.pdb 20.112
complex_101w.pdb 20.125
complex_28w.pdb 20.139
complex_111w.pdb 20.146
complex_164w.pdb 20.160
complex_13w.pdb 20.199
complex_82w.pdb 20.240
complex_116w.pdb 20.252
complex_52w.pdb 20.253
complex_55w.pdb 20.253
complex_90w.pdb 20.254
complex_131w.pdb 20.272
complex_149w.pdb 20.342
complex_26w.pdb 20.352
complex_172w.pdb 20.389
complex_67w.pdb 20.408
complex_11w.pdb 20.415
complex_64w.pdb 20.466
complex_129w.pdb 20.549
complex_83w.pdb 20.691
complex_112w.pdb 20.698
complex_79w.pdb 20.728
complex_169w.pdb 20.730
complex_102w.pdb 20.837
complex_75w.pdb 20.939
complex_105w.pdb 20.951
